Time	PPG1
13.576	2921
13.584	3020
13.592	3090
13.6	3126
13.608	3129
13.616	3107
13.624	3067
13.632	3011
13.64	2941
13.648	2862
13.656	2776
13.664	2684
13.672	2586
13.68	2483
13.688	2379
13.696	2272
13.704	2162
13.712	2052
13.72	1945
13.728	1844
13.736	1751
13.744	1667
13.752	1592
13.76	1528
13.768	1477
13.776	1438
13.784	1409
13.792	1392
13.8	1385
13.808	1388
13.816	1398
13.824	1415
13.832	1436
13.84	1458
13.848	1481
13.856	1504
13.864	1524
13.872	1542
13.88	1557
13.888	1567
13.896	1572
13.904	1574
13.912	1573
13.92	1568
13.928	1558
13.936	1546
13.944	1533
13.952	1518
13.96	1500
13.968	1482
13.976	1464
13.984	1446
13.992	1427
14	1408
14.008	1391
14.016	1376
14.024	1360
14.032	1344
14.04	1329
14.048	1315
14.056	1301
14.064	1288
14.072	1275
14.08	1263
14.088	1250
14.096	1236
14.104	1224
14.112	1213
14.12	1202
14.128	1190
14.136	1177
14.144	1164
14.152	1151
14.16	1140
14.168	1132
14.176	1133
14.184	1155.00000000001
14.192	1197
14.2	1261.00000000002
14.208	1359
14.216	1495.00000000003
14.224	1661
14.232	1848.00000000004
14.24	2052
14.248	2260.00000000005
14.256	2462
14.264	2649.00000000004
14.272	2811
14.28	2937.00000000002
14.288	3031
14.296	3097.00000000001
14.304	3129
14.312	3128
14.32	3103
14.328	3062.99999999999
14.336	3006
14.344	2935
14.352	2856
14.36	2771
14.368	2680
14.376	2581
14.384	2479
14.392	2374
14.4	2264
14.408	2152
14.416	2041
14.424	1934
14.432	1832
14.44	1738
14.448	1652
14.456	1575
14.464	1509
14.472	1456
14.48	1415
14.488	1384
14.496	1364
14.504	1357
14.512	1360
14.52	1370
14.528	1386
14.536	1406
14.544	1429
14.552	1452
14.56	1474
14.568	1494
14.576	1510
14.584	1523
14.592	1533
14.6	1537
14.608	1537
14.616	1535
14.624	1528
14.632	1516
14.64	1503
14.648	1490
14.656	1474
14.664	1456
14.672	1438
14.68	1420
14.688	1402
14.696	1384
14.704	1366
14.712	1349
14.72	1333
14.728	1318
14.736	1303
14.744	1288
14.752	1273
14.76	1259
14.768	1244
14.776	1229
14.784	1217
14.792	1205
14.8	1192
14.808	1180
14.816	1169
14.824	1157
14.832	1145
14.84	1133
14.848	1120
14.856	1107
14.864	1095
14.872	1087
14.88	1089
14.888	1113
14.896	1159
14.904	1227
14.912	1330
14.92	1472
14.928	1644
14.936	1836
14.944	2042
14.952	2248
14.96	2449
14.968	2636
14.976	2795
14.984	2918
14.992	3007
15	3067
15.008	3092
15.016	3085
15.024	3055.99999999999
15.032	3010
15.04	2947.99999999998
15.048	2873
15.056	2791.99999999998
15.064	2706
15.072	2613.99999999998
15.08	2515
15.088	2411.99999999998
15.096	2306
15.104	2196.99999999998
15.112	2087
15.12	1977.99999999998
15.128	1872
15.136	1770.99999999998
15.144	1678
15.152	1591.99999999998
15.16	1516
15.168	1451.99999999999
15.176	1401
15.184	1361.99999999999
15.192	1332
15.2	1315
15.208	1311
15.216	1315
15.224	1326
15.232	1343
15.24	1364
15.248	1387.00000000001
15.256	1411
15.264	1434
15.272	1454
15.28	1470
15.288	1482
15.296	1490
15.304	1494
15.312	1494
15.32	1490
15.328	1483
15.336	1475
15.344	1464
